DATE,TIME,VCUR_ROT_int,UCUR_ROT_int,VCURrot_11m,UCURrot_11m,VCURrot_95m,UCURrot_95m,VCUR_int,UCUR_int,VCUR_11m,UCUR_11m,VCUR_95m,UCUR_95m
2018-01-01-23,737061.9583,-0.150,-0.045,-0.502,-0.106, 0.005,-0.007,-0.124,-0.091,-0.440,-0.263, 0.033,-0.008
2018-01-02-00,     737062,-0.142,-0.045,-0.453, 0.040, 0.018,-0.021,-0.119,-0.089,-0.441,-0.109, 0.033,-0.015
2018-01-02-01,737062.0417,-0.137,-0.055,-0.406, 0.050, 0.030,-0.028,-0.108,-0.096,-0.400,-0.084, 0.057,-0.016
2018-01-02-02,737062.0833,-0.127,-0.058,-0.324, 0.043, 0.036,-0.034,-0.097,-0.096,-0.319,-0.065, 0.062,-0.023
2018-01-02-03, 737062.125,-0.108,-0.051,-0.256,-0.012, 0.038,-0.051,-0.084,-0.084,-0.238,-0.094, 0.052,-0.036
2018-01-02-04,737062.1667,-0.123,-0.062,-0.194,-0.079, 0.032,-0.051,-0.089,-0.099,-0.157,-0.137, 0.055,-0.037
2018-01-02-05,737062.2083,-0.141,-0.063,-0.279,-0.174, 0.039,-0.032,-0.111,-0.105,-0.207,-0.255, 0.052,-0.019
2018-01-02-06,  737062.25,-0.155,-0.050,-0.290,-0.177, 0.031, 0.003,-0.128,-0.098,-0.217,-0.261, 0.041, 0.011
2018-01-02-07,737062.2917,-0.167,-0.033,-0.275,-0.218, 0.029, 0.035,-0.147,-0.085,-0.189,-0.295, 0.016, 0.042
2018-01-02-08,737062.3333,-0.165,-0.013,-0.312,-0.193, 0.024, 0.042,-0.152,-0.066,-0.231,-0.284, 0.009, 0.047
2018-01-02-09, 737062.375,-0.152,-0.003,-0.349,-0.154, 0.027, 0.020,-0.142,-0.052,-0.280,-0.259, 0.034, 0.027
2018-01-02-10,737062.4167,-0.136, 0.011,-0.335,-0.127, 0.031,-0.024,-0.126,-0.034,-0.275,-0.229, 0.058,-0.010
2018-01-02-11,737062.4583,-0.122, 0.017,-0.336,-0.110, 0.026,-0.028,-0.117,-0.024,-0.281,-0.213, 0.049,-0.021
2018-01-02-12,   737062.5,-0.117, 0.009,-0.340,-0.169, 0.010,-0.022,-0.107,-0.030,-0.266,-0.270, 0.031,-0.015
2018-01-02-13,737062.5417,-0.088,-0.009,-0.334,-0.113, 0.005,-0.003,-0.077,-0.037,-0.279,-0.215, 0.038,-0.003
2018-01-02-14,737062.5833,-0.072,-0.021,-0.328,-0.028, 0.039,-0.004,-0.056,-0.043,-0.301,-0.133, 0.061, 0.007
2018-01-02-15, 737062.625,-0.076,-0.034,-0.367,-0.020, 0.021, 0.002,-0.056,-0.056,-0.340,-0.138, 0.047, 0.012
2018-01-02-16,737062.6667,-0.080,-0.049,-0.382,-0.032, 0.024,-0.014,-0.058,-0.072,-0.351,-0.155, 0.046,-0.002
2018-01-02-17,737062.7083,-0.110,-0.057,-0.419,-0.073,-0.001, 0.004,-0.082,-0.089,-0.372,-0.205, 0.028,-0.001
2018-01-02-18,  737062.75,-0.133,-0.054,-0.441,-0.072,-0.002,-0.001,-0.106,-0.094,-0.393,-0.212, 0.020,-0.003
2018-01-02-19,737062.7917,-0.147,-0.064,-0.440,-0.057,-0.009,-0.006,-0.117,-0.108,-0.397,-0.197,-0.001,-0.008
2018-01-02-20,737062.8333,-0.186,-0.071,-0.424,-0.027,-0.025, 0.033,-0.153,-0.128,-0.392,-0.163,-0.034, 0.024
2018-01-02-21, 737062.875,-0.186,-0.044,-0.405,-0.009,-0.007, 0.023,-0.161,-0.102,-0.380,-0.140,-0.012, 0.018
2018-01-02-22,737062.9167,-0.175,-0.029,-0.384,-0.041, 0.004, 0.007,-0.155,-0.084,-0.350,-0.163, 0.011, 0.010
2018-01-02-23,737062.9583,-0.165,-0.018,-0.364,-0.017,-0.006, 0.005,-0.146,-0.071,-0.338,-0.135, 0.017, 0.007
2018-01-03-00,     737063,-0.157,-0.017,-0.344, 0.014, 0.019,-0.014,-0.140,-0.067,-0.329,-0.099, 0.043,-0.006
2018-01-03-01,737063.0417,-0.168,-0.024,-0.291,-0.006, 0.013, 0.007,-0.147,-0.077,-0.273,-0.099, 0.037, 0.005
2018-01-03-02,737063.0833,-0.170,-0.018,-0.211,-0.062, 0.004, 0.011,-0.151,-0.072,-0.179,-0.127, 0.031, 0.011
2018-01-03-03, 737063.125,-0.147,-0.007,-0.179,-0.056, 0.035,-0.032,-0.134,-0.054,-0.150,-0.111, 0.051,-0.016
2018-01-03-04,737063.1667,-0.139,-0.009,-0.157,-0.163, 0.052,-0.062,-0.129,-0.053,-0.093,-0.203, 0.069,-0.041
2018-01-03-05,737063.2083,-0.138, 0.004,-0.123,-0.215, 0.026,-0.035,-0.131,-0.040,-0.045,-0.242, 0.042,-0.028
2018-01-03-06,  737063.25,-0.148, 0.018,-0.151,-0.315, 0.004,-0.010,-0.145,-0.031,-0.039,-0.346, 0.017,-0.008
2018-01-03-07,737063.2917,-0.131, 0.029,-0.207,-0.286, 0.007,-0.015,-0.132,-0.015,-0.101,-0.337, 0.015,-0.011
2018-01-03-08,737063.3333,-0.106, 0.038,-0.234,-0.298, 0.006,-0.000,-0.111, 0.002,-0.121,-0.358, 0.011, 0.000
2018-01-03-09, 737063.375,-0.101, 0.055,-0.218,-0.271,-0.017, 0.057,-0.112, 0.019,-0.117,-0.326,-0.033, 0.048
2018-01-03-10,737063.4167,-0.090, 0.041,-0.285,-0.327,-0.002, 0.133,-0.097, 0.010,-0.161,-0.400,-0.046, 0.125
2018-01-03-11,737063.4583,-0.060, 0.046,-0.338,-0.293, 0.068, 0.129,-0.071, 0.024,-0.224,-0.386, 0.022, 0.144
2018-01-03-12,   737063.5,-0.050, 0.035,-0.357,-0.299, 0.108, 0.121,-0.058, 0.017,-0.240,-0.399, 0.062, 0.149
2018-01-03-13,737063.5417,-0.036, 0.018,-0.389,-0.180, 0.140, 0.073,-0.034, 0.007,-0.307,-0.296, 0.108, 0.114
2018-01-03-14,737063.5833,-0.023,-0.025,-0.416,-0.133, 0.150, 0.037,-0.004,-0.028,-0.349,-0.261, 0.129, 0.084
2018-01-03-15, 737063.625,-0.015,-0.030,-0.332,-0.080, 0.101,-0.086, 0.009,-0.031,-0.286,-0.183, 0.145,-0.041
2018-01-03-16,737063.6667,-0.027,-0.046,-0.281,-0.067, 0.064,-0.117,-0.010,-0.052,-0.241,-0.156, 0.098,-0.090
2018-01-03-17,737063.7083,-0.055,-0.058,-0.262,-0.139, 0.032,-0.024,-0.032,-0.073,-0.202,-0.216, 0.058,-0.016
2018-01-03-18,  737063.75,-0.082,-0.067,-0.306,-0.121, 0.014,-0.018,-0.054,-0.089,-0.250,-0.214, 0.039,-0.013
2018-01-03-19,737063.7917,-0.103,-0.063,-0.367,-0.104, 0.004,-0.016,-0.077,-0.093,-0.312,-0.218, 0.020,-0.014
2018-01-03-20,737063.8333,-0.113,-0.059,-0.366,-0.054,-0.008,-0.011,-0.087,-0.092,-0.326,-0.170, 0.006,-0.010
2018-01-03-21, 737063.875,-0.139,-0.044,-0.355, 0.004,-0.005, 0.014,-0.116,-0.087,-0.336,-0.112,-0.004, 0.016
2018-01-03-22,737063.9167,-0.165,-0.033,-0.336,-0.032,-0.010, 0.027,-0.144,-0.085,-0.306,-0.139,-0.018, 0.022
2018-01-03-23,737063.9583,-0.186,-0.019,-0.321,-0.021,-0.011, 0.021,-0.170,-0.078,-0.295,-0.125,-0.017, 0.015
2018-01-04-00,     737064,-0.200,-0.009,-0.305,-0.044,-0.025, 0.020,-0.186,-0.074,-0.273,-0.139,-0.029, 0.011
2018-01-04-01,737064.0417,-0.199,-0.001,-0.271,-0.018,-0.029, 0.005,-0.187,-0.066,-0.249,-0.104,-0.027,-0.005
2018-01-04-02,737064.0833,-0.192,-0.010,-0.264,-0.019,-0.020,-0.023,-0.178,-0.072,-0.242,-0.104,-0.011,-0.029
2018-01-04-03, 737064.125,-0.193,-0.016,-0.222,-0.007,-0.024,-0.017,-0.177,-0.078,-0.207,-0.079,-0.016,-0.024
2018-01-04-04,737064.1667,-0.197,-0.014,-0.168,-0.145,-0.037, 0.021,-0.181,-0.076,-0.110,-0.191,-0.040, 0.009
2018-01-04-05,737064.2083,-0.202,-0.020,-0.166,-0.178,-0.064, 0.055,-0.184,-0.085,-0.098,-0.222,-0.078, 0.032
2018-01-04-06,  737064.25,-0.210,-0.028,-0.223,-0.137,-0.066, 0.069,-0.189,-0.094,-0.167,-0.200,-0.084, 0.044
2018-01-04-07,737064.2917,-0.135,-0.079,-0.266,-0.237, 0.003, 0.019,-0.102,-0.119,-0.174,-0.310,-0.004, 0.019
2018-01-04-08,737064.3333,-0.122,-0.069,-0.278,-0.246, 0.003, 0.019,-0.093,-0.105,-0.183,-0.323,-0.004, 0.019
2018-01-04-09, 737064.375,-0.122,-0.062,-0.272,-0.229, 0.008, 0.027,-0.095,-0.098,-0.183,-0.305,-0.001, 0.028
2018-01-04-10,737064.4167,-0.112,-0.056,-0.267,-0.216,-0.004, 0.019,-0.087,-0.090,-0.182,-0.291,-0.010, 0.016
2018-01-04-11,737064.4583,-0.089,-0.040,-0.251,-0.174, 0.002, 0.008,-0.071,-0.067,-0.181,-0.246,-0.000, 0.008
2018-01-04-12,   737064.5,-0.071,-0.027,-0.245,-0.164, 0.013, 0.016,-0.058,-0.049,-0.178,-0.235, 0.007, 0.019
2018-01-04-13,737064.5417,-0.049,-0.015,-0.214,-0.119, 0.016, 0.009,-0.042,-0.031,-0.163,-0.182, 0.012, 0.014
2018-01-04-14,737064.5833,-0.042,-0.011,-0.201,-0.104, 0.024, 0.011,-0.036,-0.024,-0.157,-0.164, 0.019, 0.018
2018-01-04-15, 737064.625,-0.046,-0.022,-0.167,-0.079, 0.031, 0.025,-0.036,-0.036,-0.133,-0.129, 0.021, 0.034
2018-01-04-16,737064.6667,-0.047,-0.032,-0.135,-0.071, 0.051, 0.034,-0.034,-0.045,-0.104,-0.111, 0.037, 0.049
2018-01-04-17,737064.7083,-0.053,-0.044,-0.105,-0.038, 0.024, 0.012,-0.035,-0.059,-0.087,-0.070, 0.019, 0.019
2018-01-04-18,  737064.75,-0.063,-0.057,-0.090,-0.017, 0.009,-0.005,-0.041,-0.074,-0.080,-0.046, 0.010,-0.001
2018-01-04-19,737064.7917,-0.086,-0.073,-0.078,-0.021, 0.009, 0.007,-0.057,-0.097,-0.067,-0.045, 0.006, 0.009
2018-01-04-20,737064.8333,-0.113,-0.094,-0.071,-0.033,-0.020,-0.005,-0.076,-0.126,-0.057,-0.055,-0.018,-0.012
2018-01-04-21, 737064.875,-0.132,-0.100,-0.088,-0.046,-0.021,-0.005,-0.093,-0.138,-0.068,-0.072,-0.019,-0.012
2018-01-04-22,737064.9167,-0.135,-0.094,-0.108,-0.065,-0.011,-0.000,-0.097,-0.132,-0.081,-0.097,-0.010,-0.004
2018-01-04-23,737064.9583,-0.134,-0.085,-0.133,-0.102, 0.006, 0.008,-0.099,-0.124,-0.093,-0.139, 0.003, 0.009
2018-01-05-00,     737065,-0.136,-0.084,-0.165,-0.130,-0.002,-0.022,-0.102,-0.124,-0.114,-0.177, 0.005,-0.022
2018-01-05-01,737065.0417,-0.123,-0.069,-0.161,-0.115,-0.020,-0.038,-0.094,-0.105,-0.115,-0.162,-0.006,-0.042
2018-01-05-02,737065.0833,-0.118,-0.062,-0.173,-0.124,-0.029,-0.045,-0.091,-0.097,-0.123,-0.173,-0.012,-0.052
2018-01-05-03, 737065.125,-0.112,-0.058,-0.175,-0.125,-0.031,-0.045,-0.087,-0.091,-0.125,-0.175,-0.015,-0.052
2018-01-05-04,737065.1667,-0.115,-0.067,-0.165,-0.126,-0.039,-0.040,-0.087,-0.101,-0.115,-0.173,-0.024,-0.050
2018-01-05-05,737065.2083,-0.121,-0.077,-0.167,-0.131,-0.048,-0.023,-0.089,-0.112,-0.116,-0.178,-0.037,-0.037
2018-01-05-06,  737065.25,-0.121,-0.081,-0.182,-0.146,-0.030,-0.008,-0.088,-0.116,-0.124,-0.198,-0.025,-0.017
2018-01-05-07,737065.2917,-0.111,-0.074,-0.175,-0.132,-0.025,-0.019,-0.080,-0.106,-0.122,-0.182,-0.017,-0.026
2018-01-05-08,737065.3333,-0.113,-0.074,-0.179,-0.138,-0.020,-0.006,-0.082,-0.107,-0.124,-0.189,-0.017,-0.012
2018-01-05-09, 737065.375,-0.112,-0.071,-0.181,-0.135,-0.023,-0.015,-0.083,-0.103,-0.127,-0.187,-0.017,-0.021
2018-01-05-10,737065.4167,-0.107,-0.060,-0.218,-0.159,-0.017,-0.012,-0.082,-0.092,-0.154,-0.222,-0.012,-0.017
2018-01-05-11,737065.4583,-0.100,-0.053,-0.219,-0.149,-0.002, 0.003,-0.077,-0.083,-0.158,-0.212,-0.003, 0.003
2018-01-05-12,   737065.5,-0.090,-0.045,-0.186,-0.117,-0.006, 0.007,-0.070,-0.071,-0.138,-0.171,-0.008, 0.005
2018-01-05-13,737065.5417,-0.075,-0.036,-0.176,-0.112,-0.001, 0.004,-0.060,-0.059,-0.130,-0.164,-0.003, 0.003
2018-01-05-14,737065.5833,-0.068,-0.037,-0.163,-0.089, 0.014, 0.010,-0.053,-0.057,-0.125,-0.138, 0.010, 0.014
2018-01-05-15, 737065.625,-0.066,-0.037,-0.173,-0.089, 0.027, 0.025,-0.050,-0.056,-0.134,-0.141, 0.017, 0.032
2018-01-05-16,737065.6667,-0.088,-0.055,-0.183,-0.100, 0.045, 0.041,-0.066,-0.081,-0.141,-0.154, 0.029, 0.053
2018-01-05-17,737065.7083,-0.100,-0.061,-0.198,-0.089, 0.040, 0.029,-0.075,-0.090,-0.158,-0.148, 0.029, 0.040
2018-01-05-18,  737065.75,-0.105,-0.072,-0.154,-0.044, 0.039, 0.011,-0.076,-0.102,-0.132,-0.092, 0.034, 0.023
2018-01-05-19,737065.7917,-0.123,-0.086,-0.156,-0.046, 0.012,-0.021,-0.088,-0.122,-0.132,-0.094, 0.018,-0.016
2018-01-05-20,737065.8333,-0.151,-0.100,-0.158,-0.033,-0.030,-0.037,-0.110,-0.144,-0.139,-0.083,-0.016,-0.044
2018-01-05-21, 737065.875,-0.167,-0.105,-0.144,-0.040,-0.041,-0.047,-0.124,-0.154,-0.123,-0.084,-0.023,-0.058
2018-01-05-22,737065.9167,-0.182,-0.104,-0.157,-0.035,-0.061,-0.035,-0.138,-0.157,-0.137,-0.085,-0.047,-0.053
2018-01-05-23,737065.9583,-0.178,-0.098,-0.152,-0.056,-0.043,-0.025,-0.136,-0.151,-0.125,-0.103,-0.032,-0.037
2018-01-06-00,     737066,-0.175,-0.096,-0.146,-0.061,-0.057,-0.034,-0.134,-0.148,-0.118,-0.105,-0.042,-0.051
2018-01-06-01,737066.0417,-0.153,-0.077,-0.143,-0.065,-0.056,-0.016,-0.119,-0.123,-0.114,-0.108,-0.048,-0.034
2018-01-06-02,737066.0833,-0.141,-0.078,-0.134,-0.080,-0.060,-0.014,-0.108,-0.120,-0.100,-0.119,-0.052,-0.033
2018-01-06-03, 737066.125,-0.130,-0.067,-0.133,-0.097,-0.054,-0.010,-0.101,-0.105,-0.094,-0.135,-0.048,-0.027
2018-01-06-04,737066.1667,-0.142,-0.090,-0.143,-0.114,-0.056,-0.017,-0.105,-0.131,-0.099,-0.155,-0.047,-0.035
2018-01-06-05,737066.2083,-0.145,-0.084,-0.149,-0.117,-0.058,-0.022,-0.110,-0.127,-0.103,-0.159,-0.047,-0.039
2018-01-06-06,  737066.25,-0.138,-0.083,-0.188,-0.163,-0.035,-0.014,-0.104,-0.124,-0.124,-0.215,-0.029,-0.025
2018-01-06-07,737066.2917,-0.135,-0.078,-0.243,-0.226,-0.012, 0.001,-0.102,-0.118,-0.156,-0.293,-0.011,-0.003
2018-01-06-08,737066.3333,-0.138,-0.078,-0.295,-0.239,-0.015,-0.008,-0.105,-0.119,-0.201,-0.322,-0.011,-0.013
2018-01-06-09, 737066.375,-0.137,-0.078,-0.292,-0.222,-0.022,-0.006,-0.104,-0.119,-0.204,-0.305,-0.019,-0.013
2018-01-06-10,737066.4167,-0.138,-0.070,-0.307,-0.236,-0.019,-0.013,-0.108,-0.112,-0.213,-0.323,-0.014,-0.019
2018-01-06-11,737066.4583,-0.129,-0.072,-0.270,-0.182,-0.010, 0.004,-0.099,-0.110,-0.196,-0.260,-0.011, 0.000
2018-01-06-12,   737066.5,-0.120,-0.058,-0.246,-0.129,-0.001, 0.025,-0.095,-0.094,-0.191,-0.202,-0.009, 0.023
2018-01-06-13,737066.5417,-0.111,-0.046,-0.258,-0.115,-0.002, 0.023,-0.090,-0.079,-0.206,-0.192,-0.010, 0.021
2018-01-06-14,737066.5833,-0.111,-0.046,-0.231,-0.080,-0.004, 0.040,-0.090,-0.080,-0.192,-0.151,-0.016, 0.036
2018-01-06-15, 737066.625,-0.102,-0.042,-0.191,-0.037, 0.019, 0.037,-0.083,-0.073,-0.169,-0.097, 0.005, 0.041
2018-01-06-16,737066.6667,-0.087,-0.039,-0.144,-0.013, 0.034, 0.046,-0.069,-0.065,-0.132,-0.059, 0.017, 0.055
2018-01-06-17,737066.7083,-0.082,-0.042,-0.095, 0.029, 0.043, 0.036,-0.064,-0.066,-0.099,-0.003, 0.029, 0.048
2018-01-06-18,  737066.75,-0.083,-0.044,-0.085, 0.023, 0.042, 0.013,-0.064,-0.069,-0.088,-0.006, 0.035, 0.026
2018-01-06-19,737066.7917,-0.088,-0.052,-0.055, 0.041, 0.038, 0.017,-0.066,-0.078,-0.065, 0.021, 0.031, 0.028
2018-01-06-20,737066.8333,-0.095,-0.055,-0.082,-0.008, 0.036, 0.006,-0.071,-0.083,-0.075,-0.035, 0.032, 0.018
2018-01-06-21, 737066.875,-0.117,-0.067,-0.117,-0.040, 0.015,-0.009,-0.089,-0.102,-0.097,-0.076, 0.017,-0.004
2018-01-06-22,737066.9167,-0.131,-0.075,-0.115,-0.036,-0.006,-0.021,-0.099,-0.113,-0.097,-0.072, 0.002,-0.022
2018-01-06-23,737066.9583,-0.145,-0.083,-0.137,-0.060,-0.024,-0.028,-0.110,-0.125,-0.110,-0.101,-0.013,-0.034
2018-01-07-00,     737067,-0.153,-0.078,-0.133,-0.070,-0.042,-0.026,-0.119,-0.124,-0.103,-0.109,-0.031,-0.038
2018-01-07-01,737067.0417,-0.149,-0.074,-0.164,-0.097,-0.055,-0.028,-0.116,-0.118,-0.124,-0.146,-0.043,-0.044
2018-01-07-02,737067.0833,-0.141,-0.065,-0.190,-0.120,-0.058,-0.030,-0.112,-0.108,-0.140,-0.175,-0.045,-0.047
2018-01-07-03, 737067.125,-0.128,-0.055,-0.195,-0.116,-0.058,-0.031,-0.103,-0.094,-0.147,-0.174,-0.044,-0.048
2018-01-07-04,737067.1667,-0.138,-0.061,-0.198,-0.119,-0.048,-0.015,-0.111,-0.102,-0.148,-0.177,-0.040,-0.030
2018-01-07-05,737067.2083,-0.141,-0.072,-0.207,-0.118,-0.045,-0.019,-0.110,-0.114,-0.157,-0.179,-0.036,-0.033
2018-01-07-06,  737067.25,-0.150,-0.067,-0.225,-0.106,-0.049,-0.009,-0.120,-0.113,-0.178,-0.173,-0.043,-0.024
2018-01-07-07,737067.2917,-0.131,-0.066,-0.217,-0.129,-0.051,-0.015,-0.103,-0.105,-0.163,-0.193,-0.044,-0.031
2018-01-07-08,737067.3333,-0.138,-0.075,-0.222,-0.148,-0.047,-0.001,-0.106,-0.116,-0.162,-0.212,-0.044,-0.017
2018-01-07-09, 737067.375,-0.144,-0.086,-0.233,-0.151,-0.034, 0.011,-0.108,-0.129,-0.171,-0.219,-0.036,-0.000
2018-01-07-10,737067.4167,-0.150,-0.085,-0.240,-0.151,-0.046, 0.004,-0.115,-0.129,-0.177,-0.221,-0.045,-0.011
2018-01-07-11,737067.4583,-0.150,-0.079,-0.289,-0.180,-0.040, 0.013,-0.116,-0.124,-0.214,-0.265,-0.042,-0.001
2018-01-07-12,   737067.5,-0.150,-0.075,-0.300,-0.208,-0.037, 0.021,-0.117,-0.120,-0.217,-0.294,-0.042, 0.008
2018-01-07-13,737067.5417,-0.135,-0.067,-0.280,-0.183,-0.032,-0.005,-0.105,-0.107,-0.206,-0.264,-0.028,-0.015
2018-01-07-14,737067.5833,-0.121,-0.058,-0.244,-0.130, 0.003, 0.023,-0.096,-0.095,-0.189,-0.202,-0.004, 0.022
2018-01-07-15, 737067.625,-0.115,-0.051,-0.185,-0.076, 0.033, 0.049,-0.092,-0.086,-0.150,-0.132, 0.016, 0.058
2018-01-07-16,737067.6667,-0.090,-0.039,-0.186,-0.084, 0.023, 0.024,-0.072,-0.066,-0.148,-0.140, 0.014, 0.030
2018-01-07-17,737067.7083,-0.075,-0.035,-0.115,-0.037, 0.035, 0.019,-0.060,-0.058,-0.097,-0.072, 0.027, 0.030
2018-01-07-18,  737067.75,-0.081,-0.038,-0.157,-0.085, 0.068, 0.058,-0.064,-0.063,-0.121,-0.131, 0.045, 0.077
2018-01-07-19,737067.7917,-0.072,-0.037,-0.107,-0.060, 0.062, 0.030,-0.056,-0.059,-0.082,-0.092, 0.049, 0.048
2018-01-07-20,737067.8333,-0.069,-0.031,-0.129,-0.100, 0.049, 0.021,-0.055,-0.052,-0.089,-0.137, 0.039, 0.036
2018-01-07-21, 737067.875,-0.072,-0.036,-0.120,-0.080, 0.060, 0.036,-0.056,-0.057,-0.087,-0.115, 0.045, 0.053
2018-01-07-22,737067.9167,-0.074,-0.040,-0.150,-0.098, 0.039,-0.000,-0.057,-0.062,-0.110,-0.142, 0.037, 0.012
2018-01-07-23,737067.9583,-0.075,-0.038,-0.183,-0.169, 0.010,-0.024,-0.058,-0.060,-0.118,-0.219, 0.017,-0.019
2018-01-08-00,     737068,-0.072,-0.035,-0.160,-0.123,-0.008,-0.028,-0.057,-0.057,-0.111,-0.169, 0.002,-0.029
2018-01-08-01,737068.0417,-0.090,-0.042,-0.149,-0.088,-0.014,-0.010,-0.072,-0.069,-0.112,-0.132,-0.010,-0.014
2018-01-08-02,737068.0833,-0.090,-0.041,-0.191,-0.157,-0.013, 0.016,-0.072,-0.068,-0.129,-0.210,-0.017, 0.011
2018-01-08-03, 737068.125,-0.089,-0.043,-0.226,-0.185,-0.004, 0.015,-0.070,-0.070,-0.154,-0.249,-0.008, 0.013
2018-01-08-04,737068.1667,-0.087,-0.045,-0.220,-0.160,-0.012, 0.017,-0.068,-0.070,-0.156,-0.223,-0.017, 0.012
2018-01-08-05,737068.2083,-0.087,-0.048,-0.219,-0.145,-0.014, 0.013,-0.066,-0.074,-0.159,-0.208,-0.018, 0.008
2018-01-08-06,  737068.25,-0.092,-0.053,-0.237,-0.156,-0.022,-0.001,-0.070,-0.080,-0.173,-0.225,-0.020,-0.008
2018-01-08-07,737068.2917,-0.082,-0.054,-0.179,-0.106,-0.022,-0.012,-0.060,-0.077,-0.135,-0.158,-0.016,-0.019
2018-01-08-08,737068.3333,-0.079,-0.050,-0.191,-0.108,-0.008,-0.003,-0.059,-0.073,-0.145,-0.164,-0.007,-0.006
2018-01-08-09, 737068.375,-0.082,-0.053,-0.184,-0.109,-0.006, 0.010,-0.061,-0.077,-0.138,-0.163,-0.009, 0.008
2018-01-08-10,737068.4167,-0.081,-0.055,-0.163,-0.092, 0.012, 0.029,-0.059,-0.078,-0.124,-0.140, 0.002, 0.031
2018-01-08-11,737068.4583,-0.087,-0.057,-0.182,-0.109, 0.016, 0.026,-0.063,-0.083,-0.137,-0.163, 0.007, 0.030
2018-01-08-12,   737068.5,-0.086,-0.054,-0.146,-0.066, 0.013, 0.026,-0.063,-0.079,-0.116,-0.110, 0.004, 0.029
2018-01-08-13,737068.5417,-0.078,-0.049,-0.110,-0.037, 0.038, 0.023,-0.058,-0.071,-0.092,-0.071, 0.029, 0.035
2018-01-08-14,737068.5833,-0.066,-0.043,-0.030, 0.022, 0.046, 0.022,-0.049,-0.062,-0.036, 0.011, 0.036, 0.036
2018-01-08-15, 737068.625,-0.040,-0.025, 0.002, 0.036, 0.017,-0.016,-0.030,-0.036,-0.010, 0.034, 0.021,-0.010
2018-01-08-16,737068.6667,-0.023,-0.015,-0.016, 0.008, 0.024,-0.010,-0.017,-0.022,-0.018, 0.002, 0.025,-0.001
2018-01-08-17,737068.7083,-0.006,-0.006,-0.018, 0.008, 0.020,-0.020,-0.003,-0.008,-0.020, 0.002, 0.025,-0.013
2018-01-08-18,  737068.75, 0.001,-0.001,-0.053,-0.017, 0.027,-0.011, 0.001,-0.001,-0.044,-0.033, 0.029,-0.002
2018-01-08-19,737068.7917, 0.002,-0.004,-0.047,-0.030, 0.035, 0.006, 0.003,-0.003,-0.035,-0.043, 0.031, 0.017
2018-01-08-20,737068.8333, 0.004,-0.003,-0.021,-0.013, 0.033, 0.006, 0.005,-0.002,-0.016,-0.019, 0.029, 0.017
2018-01-08-21, 737068.875, 0.008,-0.000,-0.025,-0.020, 0.027,-0.007, 0.007, 0.002,-0.017,-0.028, 0.028, 0.003
2018-01-08-22,737068.9167, 0.008, 0.003,-0.035,-0.059, 0.033, 0.004, 0.006, 0.006,-0.014,-0.067, 0.030, 0.015
2018-01-08-23,737068.9583,-0.007,-0.008,-0.097,-0.103, 0.042, 0.024,-0.004,-0.010,-0.058,-0.129, 0.032, 0.036
2018-01-09-00,     737069,-0.018,-0.014,-0.138,-0.118, 0.040, 0.026,-0.013,-0.019,-0.092,-0.156, 0.029, 0.038
2018-01-09-01,737069.0417,-0.023,-0.016,-0.174,-0.137, 0.057, 0.041,-0.016,-0.023,-0.120,-0.186, 0.041, 0.057
2018-01-09-02,737069.0833,-0.030,-0.019,-0.189,-0.133, 0.048, 0.036,-0.022,-0.028,-0.135,-0.187, 0.034, 0.050
2018-01-09-03, 737069.125,-0.032,-0.014,-0.210,-0.137, 0.046, 0.027,-0.026,-0.023,-0.154,-0.197, 0.035, 0.041
2018-01-09-04,737069.1667,-0.040,-0.019,-0.201,-0.120, 0.038, 0.026,-0.032,-0.031,-0.151,-0.179, 0.027, 0.037
2018-01-09-05,737069.2083,-0.041,-0.027,-0.176,-0.080, 0.033, 0.020,-0.030,-0.039,-0.140,-0.133, 0.025, 0.030
2018-01-09-06,  737069.25,-0.045,-0.027,-0.188,-0.105, 0.020, 0.000,-0.034,-0.040,-0.144,-0.160, 0.019, 0.007
2018-01-09-07,737069.2917,-0.053,-0.030,-0.251,-0.172, 0.006, 0.007,-0.041,-0.046,-0.182,-0.244, 0.004, 0.009
2018-01-09-08,737069.3333,-0.044,-0.033,-0.221,-0.108, 0.005,-0.008,-0.031,-0.046,-0.174,-0.174, 0.007,-0.006
2018-01-09-09, 737069.375,-0.058,-0.040,-0.209,-0.102,-0.003,-0.022,-0.042,-0.057,-0.164,-0.164, 0.005,-0.022
2018-01-09-10,737069.4167,-0.069,-0.049,-0.197,-0.079,-0.015,-0.041,-0.049,-0.069,-0.161,-0.139,-0.001,-0.044
2018-01-09-11,737069.4583,-0.074,-0.055,-0.189,-0.077,-0.010,-0.030,-0.052,-0.076,-0.154,-0.134, 0.000,-0.032
2018-01-09-12,   737069.5,-0.082,-0.058,-0.164,-0.039,-0.007,-0.026,-0.059,-0.082,-0.142,-0.090, 0.002,-0.026
2018-01-09-13,737069.5417,-0.082,-0.060,-0.099,-0.004,-0.016,-0.045,-0.058,-0.083,-0.092,-0.035, 0.000,-0.048
2018-01-09-14,737069.5833,-0.076,-0.052,-0.071, 0.028,-0.016,-0.036,-0.055,-0.074,-0.076, 0.003,-0.003,-0.039
2018-01-09-15, 737069.625,-0.076,-0.054,-0.061, 0.019,-0.002,-0.022,-0.055,-0.075,-0.064,-0.002, 0.005,-0.021
